,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
122,2024-03-20,174.22690676768062,167.0528545060165,178.9137225403202,174.22690676768062,174.22690676768062,-0.9670618611338628,-0.9670618611338628,-0.9670618611338628,-0.9670618611338628,-0.9670618611338628,-0.9670618611338628,0.0,0.0,0.0,173.25984490654676
123,2024-03-21,173.98414726870215,166.83915630982528,179.1039595440375,173.98414726870215,173.98414726870215,-0.9233588977197476,-0.9233588977197476,-0.9233588977197476,-0.9233588977197476,-0.9233588977197476,-0.9233588977197476,0.0,0.0,0.0,173.0607883709824
124,2024-03-22,173.74138776972367,167.05075492304795,179.18771967097845,173.74138776972367,173.74138776972367,-0.5093569928228434,-0.5093569928228434,-0.5093569928228434,-0.5093569928228434,-0.5093569928228434,-0.5093569928228434,0.0,0.0,0.0,173.23203077690084
125,2024-03-25,173.01310927278828,166.73335202814232,178.2870936757617,173.01310927278828,173.01310927278828,-0.8164784817724838,-0.8164784817724838,-0.8164784817724838,-0.8164784817724838,-0.8164784817724838,-0.8164784817724838,0.0,0.0,0.0,172.1966307910158
126,2024-03-26,172.77034977380978,165.75342385266296,177.9166570019694,172.77034977380978,172.77034977380978,-0.941388034338974,-0.941388034338974,-0.941388034338974,-0.941388034338974,-0.941388034338974,-0.941388034338974,0.0,0.0,0.0,171.8289617394708
127,2024-03-27,172.5275902748313,165.27381190092294,177.36999615149193,172.5275902748313,172.5275902748313,-0.9670618611337375,-0.9670618611337375,-0.9670618611337375,-0.9670618611337375,-0.9670618611337375,-0.9670618611337375,0.0,0.0,0.0,171.56052841369757
128,2024-03-28,172.31851039727457,165.64437161988448,176.90094105418765,172.31851039727457,172.31851039727457,-0.9233588977217523,-0.9233588977217523,-0.9233588977217523,-0.9233588977217523,-0.9233588977217523,-0.9233588977217523,0.0,0.0,0.0,171.3951514995528
129,2024-04-01,171.48219088704758,164.72200602707454,176.26175714306274,171.48219088704758,171.48219088704758,-0.8164784817729428,-0.8164784817729428,-0.8164784817729428,-0.8164784817729428,-0.8164784817729428,-0.8164784817729428,0.0,0.0,0.0,170.66571240527463
130,2024-04-02,171.27311100949086,164.45671173737753,176.39586199466422,171.27311100949086,171.27311100949086,-0.9413880343402221,-0.9413880343402221,-0.9413880343402221,-0.9413880343402221,-0.9413880343402221,-0.9413880343402221,0.0,0.0,0.0,170.33172297515063
131,2024-04-03,171.06403113193412,164.70178772879262,175.7869912158056,171.06403113193412,171.06403113193412,-0.9670618611341804,-0.9670618611341804,-0.9670618611341804,-0.9670618611341804,-0.9670618611341804,-0.9670618611341804,0.0,0.0,0.0,170.09696927079995
